,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
0,Color,Tom Tykwer,76.0,119.0,670.0,9.0,Sebastian Schipper,24.0,59774.0,Comedy|Drama|Romance,Devid Striesow,3,4212,69,Sophie Rois,0.0,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,18.0,German,Germany,Unrated,,2010.0,20.0,6.8,2.35,2000
1,Color,Brian Helgeland,216.0,128.0,241.0,898.0,Christopher Meloni,11000.0,95001343.0,Biography|Drama|Sport,Harrison Ford,42,66511,16911,Nicole Beharie,0.0,baseball|baseball player|brooklyn dodgers|major league baseball|racism,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,200.0,English,USA,PG-13,40000000.0,2013.0,3000.0,7.5,2.35,28000
2,Color,Li Zhang,63.0,121.0,0.0,187.0,Joan Chen,974.0,127437.0,Action|Adventure|Drama|History|War,Bingbing Li,1911,4670,1887,Jaycee Chan,0.0,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,27.0,Mandarin,China,R,18000000.0,2011.0,643.0,6.0,2.35,0
3,Color,Tommy Oliver,6.0,90.0,66.0,734.0,Ruby Dee,904.0,,Drama,Bokeem Woodbine,1982,122,5435,Quinton Aaron,4.0,number in title|semi autobiographical,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,3.0,English,USA,R,1000000.0,2013.0,782.0,7.1,,181
4,Color,Tara Subkoff,35.0,101.0,37.0,56.0,Balthazar Getty,501.0,,Drama|Horror|Mystery|Thriller,Timothy Hutton,#Horror ,1547,1044,Lydia Hearst,1.0,bullying|cyberbullying|girl|internet|throat slitting,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42.0,English,USA,Not Rated,1500000.0,2015.0,418.0,3.3,,750
5,Color,Dan Trachtenberg,411.0,104.0,16.0,82.0,John Gallagher Jr.,14000.0,71897215.0,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,126893,14504,Sumalee Montano,0.0,alien|bunker|car crash|kidnapping|minimal cast,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440.0,English,USA,PG-13,15000000.0,2016.0,338.0,7.3,2.35,33000
6,Color,Timothy Hines,1.0,111.0,0.0,247.0,Kelly LeBrock,1000.0,14616.0,Drama,Christopher Lambert,10 Days in a Madhouse ,314,2059,Alexandra Callas,1.0,,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,10.0,English,USA,R,12000000.0,2015.0,445.0,7.5,1.85,26000
9,Color,Steve McQueen,597.0,134.0,0.0,500.0,Scoot McNairy,2000.0,56667870.0,Biography|Drama|History,Quvenzhané Wallis,12 Years a Slave ,439176,4251,Taran Killam,0.0,racism|separation from family|social injustice|torture|whipping,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,695.0,English,USA,R,20000000.0,2013.0,660.0,8.1,2.35,83000
10,Color,Danny Boyle,450.0,94.0,0.0,223.0,Treat Williams,11000.0,18329466.0,Adventure|Biography|Drama|Thriller,James Franco,127 Hours ,279179,11984,Kate Burton,0.0,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,440.0,English,USA,R,18000000.0,2010.0,642.0,7.6,1.85,63000
11,Color,Michael Bay,204.0,144.0,0.0,681.0,James Badge Dale,769.0,52822418.0,Action|Drama|Thriller|War,Toby Stephens,13 Hours ,47764,3580,David Costabile,0.0,based on true story|cia agent|libya|mercenary|u.s. ambassador,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219.0,English,USA,R,50000000.0,2016.0,726.0,7.4,2.35,44000
